txn_id,investor_id,city,investor_segment,fund_id,fund_name,category,txn_date,txn_type,amount_pkr
TXN001477,INV0188,Lahore,Retail,F001,Al Meezan Mutual Fund,Equity,2020-01-02,Sell,127594.16
TXN003105,INV0369,Karachi,Retail,F004,Meezan Balanced Fund,Balanced,2020-01-02,Sell,50050.82
TXN000034,INV0005,Karachi,Retail,F005,KSE Meezan Index Fund,Index,2020-01-02,Buy,86075.71
TXN004048,INV0482,Karachi,Institutional,F004,Meezan Balanced Fund,Balanced,2020-01-03,Dividend Reinvest,7569312.04
TXN002024,INV0250,Lahore,Retail,F001,Al Meezan Mutual Fund,Equity,2020-01-03,Sell,145139.31
TXN000721,INV0090,Karachi,HNI,F001,Al Meezan Mutual Fund,Equity,2020-01-03,Buy,347423.4
TXN003465,INV0408,Karachi,Retail,F002,Meezan Islamic Income Fund,Income,2020-01-04,Dividend Reinvest,91140.12
TXN002055,INV0254,Lahore,Institutional,F004,Meezan Balanced Fund,Balanced,2020-01-05,Dividend Reinvest,10512078.58
TXN002396,INV0291,Faisalabad,Retail,F002,Meezan Islamic Income Fund,Income,2020-01-05,Sell,96105.24
TXN003844,INV0453,Faisalabad,Institutional,F001,Al Meezan Mutual Fund,Equity,2020-01-07,Buy,6356177.95
TXN003604,INV0421,Karachi,HNI,F001,Al Meezan Mutual Fund,Equity,2020-01-08,Buy,1107001.25
TXN000080,INV0012,Lahore,Retail,F001,Al Meezan Mutual Fund,Equity,2020-01-08,Buy,41352.46
TXN001719,INV0213,Karachi,HNI,F005,KSE Meezan Index Fund,Index,2020-01-09,Dividend Reinvest,373357.15
TXN002036,INV0252,Karachi,HNI,F004,Meezan Balanced Fund,Balanced,2020-01-09,Dividend Reinvest,1090883.01
TXN004034,INV0481,Faisalabad,Institutional,F005,KSE Meezan Index Fund,Index,2020-01-09,Buy,8462213.6
TXN003500,INV0411,Karachi,Retail,F003,Meezan Cash Fund,Money Market,2020-01-10,Dividend Reinvest,107449.27
TXN002189,INV0270,Karachi,Retail,F005,KSE Meezan Index Fund,Index,2020-01-10,Buy,72174.44
TXN004161,INV0494,Karachi,Retail,F006,Meezan Gold Fund,Commodity,2020-01-11,Buy,116660.62
TXN002643,INV0318,Karachi,Retail,F005,KSE Meezan Index Fund,Index,2020-01-11,Buy,117712.1
TXN001844,INV0230,Lahore,Retail,F001,Al Meezan Mutual Fund,Equity,2020-01-11,Buy,102457.23
TXN001055,INV0137,Karachi,Retail,F005,KSE Meezan Index Fund,Index,2020-01-13,Sell,102293.67
TXN000595,INV0076,Lahore,Retail,F001,Al Meezan Mutual Fund,Equity,2020-01-14,Buy,76417.31
TXN000524,INV0067,Lahore,HNI,F002,Meezan Islamic Income Fund,Income,2020-01-14,Buy,544401.57
TXN000905,INV0115,Karachi,HNI,F001,Al Meezan Mutual Fund,Equity,2020-01-16,Buy,1077944.32
TXN004109,INV0489,Karachi,Institutional,F004,Meezan Balanced Fund,Balanced,2020-01-16,Buy,2939118.83
TXN000255,INV0030,Lahore,Institutional,F003,Meezan Cash Fund,Money Market,2020-01-17,Buy,11072493.66
TXN001957,INV0240,Lahore,Retail,F003,Meezan Cash Fund,Money Market,2020-01-17,Sell,137526.07
TXN001330,INV0170,Lahore,Retail,F006,Meezan Gold Fund,Commodity,2020-01-18,Buy,107546.6
TXN002041,INV0253,Lahore,Retail,F006,Meezan Gold Fund,Commodity,2020-01-18,Buy,71310.08
TXN000900,INV0114,Karachi,Retail,F006,Meezan Gold Fund,Commodity,2020-01-19,Buy,41539.26
TXN002402,INV0291,Faisalabad,Retail,F003,Meezan Cash Fund,Money Market,2020-01-19,Buy,86505.76
TXN002792,INV0335,Karachi,Retail,F003,Meezan Cash Fund,Money Market,2020-01-19,Dividend Reinvest,69718.46
TXN001040,INV0134,Faisalabad,HNI,F006,Meezan Gold Fund,Commodity,2020-01-19,Buy,682509.11
TXN002143,INV0265,Quetta,Institutional,F006,Meezan Gold Fund,Commodity,2020-01-20,Buy,10735601.6
TXN000605,INV0077,Islamabad,HNI,F006,Meezan Gold Fund,Commodity,2020-01-20,Sell,353357.65
TXN000069,INV0011,Karachi,Retail,F001,Al Meezan Mutual Fund,Equity,2020-01-20,Buy,149806.81
TXN003598,INV0421,Karachi,HNI,F001,Al Meezan Mutual Fund,Equity,2020-01-20,Sell,1170629.41
TXN000962,INV0123,Karachi,Retail,F001,Al Meezan Mutual Fund,Equity,2020-01-20,Sell,107919.38
TXN000167,INV0021,Faisalabad,HNI,F005,KSE Meezan Index Fund,Index,2020-01-21,Buy,488820.53
TXN004197,INV0498,Lahore,Retail,F001,Al Meezan Mutual Fund,Equity,2020-01-22,Dividend Reinvest,51087.94
TXN001222,INV0155,Lahore,HNI,F003,Meezan Cash Fund,Money Market,2020-01-22,Buy,1269224.74
TXN003588,INV0420,Faisalabad,Retail,F005,KSE Meezan Index Fund,Index,2020-01-22,Sell,27401.52
TXN003126,INV0371,Karachi,Retail,F004,Meezan Balanced Fund,Balanced,2020-01-24,Buy,144990.13
TXN001307,INV0164,Islamabad,Retail,F005,KSE Meezan Index Fund,Index,2020-01-24,Sell,104024.2
TXN004091,INV0487,Lahore,HNI,F003,Meezan Cash Fund,Money Market,2020-01-24,Dividend Reinvest,761422.73
TXN001528,INV0192,Lahore,Retail,F001,Al Meezan Mutual Fund,Equity,2020-01-25,Buy,90658.03
TXN001181,INV0150,Faisalabad,Retail,F001,Al Meezan Mutual Fund,Equity,2020-01-25,Sell,72428.5
TXN001519,INV0192,Lahore,Retail,F004,Meezan Balanced Fund,Balanced,2020-01-25,Buy,124663.63
TXN002198,INV0271,Lahore,HNI,F003,Meezan Cash Fund,Money Market,2020-01-25,Buy,823469.91
TXN002522,INV0303,Lahore,Institutional,F001,Al Meezan Mutual Fund,Equity,2020-01-26,Buy,12671390.74
TXN000628,INV0080,Karachi,Retail,F004,Meezan Balanced Fund,Balanced,2020-01-26,Buy,73474.94
TXN004200,INV0498,Lahore,Retail,F005,KSE Meezan Index Fund,Index,2020-01-27,Buy,72161.39
TXN003722,INV0432,Karachi,Institutional,F002,Meezan Islamic Income Fund,Income,2020-01-28,Buy,3050421.39
TXN000269,INV0032,Islamabad,Retail,F004,Meezan Balanced Fund,Balanced,2020-01-29,Buy,40448.59
TXN000218,INV0026,Lahore,Retail,F005,KSE Meezan Index Fund,Index,2020-01-29,Buy,36651.15
TXN001324,INV0168,Karachi,HNI,F003,Meezan Cash Fund,Money Market,2020-01-29,Buy,1255350.97
TXN002874,INV0344,Lahore,Retail,F002,Meezan Islamic Income Fund,Income,2020-02-01,Buy,110324.84
TXN001615,INV0203,Islamabad,Retail,F001,Al Meezan Mutual Fund,Equity,2020-02-02,Buy,63104.58
TXN003420,INV0403,Islamabad,Retail,F003,Meezan Cash Fund,Money Market,2020-02-02,Buy,97730.85
TXN002191,INV0270,Karachi,Retail,F001,Al Meezan Mutual Fund,Equity,2020-02-02,Buy,148661.33
TXN002599,INV0313,Peshawar,Retail,F003,Meezan Cash Fund,Money Market,2020-02-03,Buy,63370.68
TXN002607,INV0314,Islamabad,Retail,F006,Meezan Gold Fund,Commodity,2020-02-03,Sell,76409.96
TXN003316,INV0392,Karachi,Retail,F004,Meezan Balanced Fund,Balanced,2020-02-03,Buy,125426.46
TXN003983,INV0476,Karachi,HNI,F004,Meezan Balanced Fund,Balanced,2020-02-03,Buy,1440746.56
TXN001560,INV0196,Lahore,Retail,F004,Meezan Balanced Fund,Balanced,2020-02-03,Buy,32006.81
TXN001119,INV0143,Lahore,Retail,F001,Al Meezan Mutual Fund,Equity,2020-02-03,Buy,132448.96
TXN003669,INV0427,Karachi,Retail,F003,Meezan Cash Fund,Money Market,2020-02-04,Buy,133467.21
TXN000597,INV0076,Lahore,Retail,F003,Meezan Cash Fund,Money Market,2020-02-05,Buy,112232.38
TXN001703,INV0211,Karachi,Retail,F002,Meezan Islamic Income Fund,Income,2020-02-05,Buy,63946.68
TXN001898,INV0236,Lahore,Retail,F005,KSE Meezan Index Fund,Index,2020-02-06,Buy,39584.78
TXN001746,INV0217,Lahore,HNI,F005,KSE Meezan Index Fund,Index,2020-02-06,Dividend Reinvest,289498.15
TXN003975,INV0474,Quetta,Retail,F003,Meezan Cash Fund,Money Market,2020-02-06,Buy,103380.34
TXN003157,INV0373,Karachi,HNI,F002,Meezan Islamic Income Fund,Income,2020-02-08,Sell,1071515.98
TXN003298,INV0390,Lahore,Institutional,F004,Meezan Balanced Fund,Balanced,2020-02-08,Buy,6529803.86
TXN001710,INV0211,Karachi,Retail,F001,Al Meezan Mutual Fund,Equity,2020-02-08,Sell,119666.75
TXN000394,INV0046,Faisalabad,HNI,F001,Al Meezan Mutual Fund,Equity,2020-02-08,Buy,1293703.87
TXN000941,INV0120,Karachi,HNI,F004,Meezan Balanced Fund,Balanced,2020-02-09,Buy,1158961.04
TXN001332,INV0170,Lahore,Retail,F001,Al Meezan Mutual Fund,Equity,2020-02-09,Buy,135425.29
TXN001761,INV0219,Karachi,Retail,F002,Meezan Islamic Income Fund,Income,2020-02-10,Buy,29672.2
TXN001196,INV0152,Karachi,Retail,F003,Meezan Cash Fund,Money Market,2020-02-10,Buy,68886.31
TXN004078,INV0485,Karachi,HNI,F002,Meezan Islamic Income Fund,Income,2020-02-10,Buy,1112047.22
TXN001910,INV0236,Lahore,Retail,F004,Meezan Balanced Fund,Balanced,2020-02-10,Sell,98153.28
TXN003074,INV0365,Lahore,Retail,F006,Meezan Gold Fund,Commodity,2020-02-11,Sell,123592.08
TXN000337,INV0040,Islamabad,Retail,F004,Meezan Balanced Fund,Balanced,2020-02-12,Dividend Reinvest,46484.15
TXN002209,INV0272,Faisalabad,Retail,F002,Meezan Islamic Income Fund,Income,2020-02-13,Sell,137097.43
TXN000254,INV0030,Lahore,Institutional,F003,Meezan Cash Fund,Money Market,2020-02-14,Dividend Reinvest,10727872.7
TXN000797,INV0100,Karachi,Retail,F001,Al Meezan Mutual Fund,Equity,2020-02-14,Dividend Reinvest,49718.79
TXN001235,INV0156,Karachi,HNI,F005,KSE Meezan Index Fund,Index,2020-02-15,Buy,377841.86
TXN003444,INV0406,Karachi,Retail,F002,Meezan Islamic Income Fund,Income,2020-02-15,Buy,94874.51
TXN001639,INV0205,Lahore,HNI,F006,Meezan Gold Fund,Commodity,2020-02-16,Buy,1461968.26
TXN004176,INV0496,Karachi,Institutional,F006,Meezan Gold Fund,Commodity,2020-02-17,Sell,8372900.63
TXN003487,INV0410,Islamabad,Retail,F004,Meezan Balanced Fund,Balanced,2020-02-18,Buy,65189.31
TXN001051,INV0136,Lahore,HNI,F002,Meezan Islamic Income Fund,Income,2020-02-18,Buy,664644.22
TXN003266,INV0386,Karachi,HNI,F003,Meezan Cash Fund,Money Market,2020-02-18,Buy,1238649.96
TXN000095,INV0013,Lahore,Retail,F002,Meezan Islamic Income Fund,Income,2020-02-18,Sell,74808.25
TXN003687,INV0429,Karachi,Retail,F004,Meezan Balanced Fund,Balanced,2020-02-18,Sell,112140.59
TXN003785,INV0443,Karachi,Institutional,F001,Al Meezan Mutual Fund,Equity,2020-02-19,Buy,9630257.8
TXN002919,INV0349,Karachi,Retail,F004,Meezan Balanced Fund,Balanced,2020-02-19,Sell,148741.69
TXN003856,INV0454,Lahore,HNI,F004,Meezan Balanced Fund,Balanced,2020-02-19,Sell,954136.39
TXN003683,INV0428,Lahore,Retail,F005,KSE Meezan Index Fund,Index,2020-02-19,Buy,130361.65
TXN003406,INV0402,Lahore,Retail,F002,Meezan Islamic Income Fund,Income,2020-02-19,Sell,66120.28
TXN001430,INV0181,Karachi,Institutional,F005,KSE Meezan Index Fund,Index,2020-02-21,Sell,13811947.51
TXN001558,INV0195,Karachi,HNI,F002,Meezan Islamic Income Fund,Income,2020-02-21,Sell,991181.79
TXN002627,INV0316,Quetta,Retail,F001,Al Meezan Mutual Fund,Equity,2020-02-22,Buy,103611.77
TXN000202,INV0025,Faisalabad,HNI,F003,Meezan Cash Fund,Money Market,2020-02-22,Buy,1452388.88
TXN000912,INV0116,Islamabad,Retail,F006,Meezan Gold Fund,Commodity,2020-02-22,Sell,149683.64
TXN002275,INV0278,Faisalabad,Retail,F002,Meezan Islamic Income Fund,Income,2020-02-22,Sell,133625.66
TXN003212,INV0380,Karachi,Retail,F003,Meezan Cash Fund,Money Market,2020-02-23,Buy,71356.39
TXN000440,INV0053,Quetta,HNI,F004,Meezan Balanced Fund,Balanced,2020-02-23,Buy,965346.76
TXN001865,INV0232,Lahore,Retail,F003,Meezan Cash Fund,Money Market,2020-02-23,Buy,147666.81
TXN002153,INV0266,Karachi,Retail,F004,Meezan Balanced Fund,Balanced,2020-02-24,Buy,33686.38
TXN001682,INV0209,Karachi,Retail,F002,Meezan Islamic Income Fund,Income,2020-02-24,Sell,44253.0
TXN000735,INV0091,Lahore,Retail,F006,Meezan Gold Fund,Commodity,2020-02-24,Sell,107300.67
TXN003116,INV0369,Karachi,Retail,F005,KSE Meezan Index Fund,Index,2020-02-25,Buy,101065.29
TXN003307,INV0391,Quetta,Retail,F003,Meezan Cash Fund,Money Market,2020-02-25,Buy,137359.95
TXN003763,INV0437,Lahore,Retail,F004,Meezan Balanced Fund,Balanced,2020-02-25,Buy,145346.03
TXN002537,INV0306,Lahore,Retail,F003,Meezan Cash Fund,Money Market,2020-02-27,Buy,45345.05
TXN001965,INV0241,Lahore,Retail,F001,Al Meezan Mutual Fund,Equity,2020-02-27,Dividend Reinvest,92491.58
TXN001215,INV0154,Lahore,Retail,F002,Meezan Islamic Income Fund,Income,2020-02-28,Buy,69605.16
TXN003329,INV0394,Islamabad,Retail,F003,Meezan Cash Fund,Money Market,2020-02-28,Sell,66447.76
TXN003664,INV0426,Karachi,HNI,F001,Al Meezan Mutual Fund,Equity,2020-02-29,Sell,1202967.04
TXN002680,INV0323,Faisalabad,Retail,F001,Al Meezan Mutual Fund,Equity,2020-02-29,Buy,128182.07
TXN000138,INV0017,Lahore,Retail,F004,Meezan Balanced Fund,Balanced,2020-02-29,Buy,108609.2
TXN003184,INV0377,Islamabad,Retail,F006,Meezan Gold Fund,Commodity,2020-02-29,Sell,42321.51
TXN001740,INV0216,Lahore,Retail,F002,Meezan Islamic Income Fund,Income,2020-03-01,Buy,31606.55
TXN003327,INV0394,Islamabad,Retail,F002,Meezan Islamic Income Fund,Income,2020-03-02,Buy,63258.1
TXN004133,INV0492,Lahore,Retail,F003,Meezan Cash Fund,Money Market,2020-03-02,Buy,26441.2
TXN004135,INV0492,Lahore,Retail,F006,Meezan Gold Fund,Commodity,2020-03-03,Buy,45615.49
TXN000893,INV0114,Karachi,Retail,F006,Meezan Gold Fund,Commodity,2020-03-03,Buy,86098.34
TXN000321,INV0038,Islamabad,HNI,F006,Meezan Gold Fund,Commodity,2020-03-03,Buy,913103.36
TXN000791,INV0100,Karachi,Retail,F002,Meezan Islamic Income Fund,Income,2020-03-04,Dividend Reinvest,131825.16
TXN003759,INV0437,Lahore,Retail,F004,Meezan Balanced Fund,Balanced,2020-03-05,Buy,68937.12
TXN002577,INV0312,Faisalabad,Institutional,F005,KSE Meezan Index Fund,Index,2020-03-05,Dividend Reinvest,12177569.04
TXN000045,INV0006,Peshawar,Retail,F001,Al Meezan Mutual Fund,Equity,2020-03-05,Sell,33857.17
TXN004106,INV0488,Lahore,HNI,F002,Meezan Islamic Income Fund,Income,2020-03-05,Buy,1390301.55
TXN000833,INV0105,Karachi,HNI,F005,KSE Meezan Index Fund,Index,2020-03-07,Buy,647771.14
TXN000193,INV0024,Karachi,HNI,F003,Meezan Cash Fund,Money Market,2020-03-07,Buy,1133694.79
TXN003165,INV0375,Lahore,HNI,F004,Meezan Balanced Fund,Balanced,2020-03-07,Sell,964141.61
TXN002900,INV0347,Karachi,Institutional,F005,KSE Meezan Index Fund,Index,2020-03-07,Sell,4375933.57
TXN002617,INV0315,Karachi,Retail,F004,Meezan Balanced Fund,Balanced,2020-03-07,Buy,44171.92
TXN001018,INV0131,Karachi,Retail,F005,KSE Meezan Index Fund,Index,2020-03-07,Buy,81574.31
TXN003053,INV0363,Lahore,Retail,F003,Meezan Cash Fund,Money Market,2020-03-09,Sell,105209.26
TXN003091,INV0367,Karachi,Institutional,F005,KSE Meezan Index Fund,Index,2020-03-10,Buy,3807662.08
TXN002308,INV0281,Faisalabad,Retail,F006,Meezan Gold Fund,Commodity,2020-03-11,Buy,63611.43
TXN000802,INV0102,Faisalabad,Retail,F002,Meezan Islamic Income Fund,Income,2020-03-11,Sell,102122.15
TXN000426,INV0050,Lahore,Retail,F004,Meezan Balanced Fund,Balanced,2020-03-12,Buy,54499.42
TXN001654,INV0206,Karachi,Retail,F006,Meezan Gold Fund,Commodity,2020-03-12,Sell,147252.82
TXN000240,INV0028,Islamabad,Retail,F005,KSE Meezan Index Fund,Index,2020-03-14,Sell,54346.28
TXN001856,INV0231,Islamabad,Retail,F002,Meezan Islamic Income Fund,Income,2020-03-14,Buy,45444.37
TXN002858,INV0343,Karachi,HNI,F002,Meezan Islamic Income Fund,Income,2020-03-14,Dividend Reinvest,1122927.42
TXN002984,INV0355,Karachi,HNI,F001,Al Meezan Mutual Fund,Equity,2020-03-14,Sell,1193902.26
TXN001914,INV0237,Karachi,Retail,F003,Meezan Cash Fund,Money Market,2020-03-16,Buy,85762.62
TXN001392,INV0177,Karachi,HNI,F003,Meezan Cash Fund,Money Market,2020-03-16,Buy,290540.11
TXN001787,INV0223,Lahore,Institutional,F006,Meezan Gold Fund,Commodity,2020-03-16,Buy,5908899.54
TXN001564,INV0196,Lahore,Retail,F001,Al Meezan Mutual Fund,Equity,2020-03-16,Sell,86111.84
TXN003083,INV0366,Lahore,Retail,F002,Meezan Islamic Income Fund,Income,2020-03-16,Dividend Reinvest,98152.87
TXN001961,INV0241,Lahore,Retail,F001,Al Meezan Mutual Fund,Equity,2020-03-16,Buy,73749.19
TXN002046,INV0253,Lahore,Retail,F003,Meezan Cash Fund,Money Market,2020-03-16,Buy,138063.45
TXN002673,INV0323,Faisalabad,Retail,F004,Meezan Balanced Fund,Balanced,2020-03-16,Dividend Reinvest,139754.31
TXN000232,INV0028,Islamabad,Retail,F004,Meezan Balanced Fund,Balanced,2020-03-16,Buy,145669.2
TXN002881,INV0344,Lahore,Retail,F004,Meezan Balanced Fund,Balanced,2020-03-16,Dividend Reinvest,85025.99
TXN000351,INV0042,Lahore,Institutional,F004,Meezan Balanced Fund,Balanced,2020-03-18,Buy,12896207.9
TXN001492,INV0189,Karachi,Retail,F001,Al Meezan Mutual Fund,Equity,2020-03-18,Buy,113110.32
TXN003058,INV0364,Karachi,Institutional,F001,Al Meezan Mutual Fund,Equity,2020-03-19,Buy,10161506.15
TXN003472,INV0409,Faisalabad,Retail,F005,KSE Meezan Index Fund,Index,2020-03-20,Dividend Reinvest,136029.19
TXN001121,INV0144,Karachi,Retail,F005,KSE Meezan Index Fund,Index,2020-03-20,Sell,91428.74
TXN003014,INV0359,Lahore,HNI,F001,Al Meezan Mutual Fund,Equity,2020-03-20,Dividend Reinvest,868980.66
TXN003674,INV0427,Karachi,Retail,F005,KSE Meezan Index Fund,Index,2020-03-21,Dividend Reinvest,31982.4
TXN002164,INV0268,Lahore,Retail,F005,KSE Meezan Index Fund,Index,2020-03-21,Sell,60988.97
TXN000573,INV0073,Karachi,Retail,F005,KSE Meezan Index Fund,Index,2020-03-21,Sell,48520.41
TXN002554,INV0308,Faisalabad,Retail,F004,Meezan Balanced Fund,Balanced,2020-03-22,Dividend Reinvest,121771.88
TXN003773,INV0440,Lahore,Institutional,F002,Meezan Islamic Income Fund,Income,2020-03-22,Buy,6642695.05
TXN001725,INV0214,Lahore,Retail,F006,Meezan Gold Fund,Commodity,2020-03-24,Buy,86714.1
TXN002747,INV0330,Karachi,Retail,F004,Meezan Balanced Fund,Balanced,2020-03-24,Buy,128183.83
TXN002432,INV0294,Karachi,HNI,F002,Meezan Islamic Income Fund,Income,2020-03-24,Buy,1075538.45
TXN001652,INV0206,Karachi,Retail,F001,Al Meezan Mutual Fund,Equity,2020-03-25,Dividend Reinvest,96815.65
TXN001846,INV0230,Lahore,Retail,F005,KSE Meezan Index Fund,Index,2020-03-25,Buy,57536.46
TXN003833,INV0450,Karachi,Retail,F001,Al Meezan Mutual Fund,Equity,2020-03-25,Sell,59669.5
TXN002123,INV0263,Islamabad,HNI,F005,KSE Meezan Index Fund,Index,2020-03-25,Buy,1026407.27
TXN002888,INV0345,Karachi,Institutional,F003,Meezan Cash Fund,Money Market,2020-03-26,Buy,5349405.26
TXN003508,INV0413,Karachi,Institutional,F004,Meezan Balanced Fund,Balanced,2020-03-26,Sell,8114102.55
