date,fund_id,fund_name,category,shariah_compliant,nav
2020-01-01,F001,Al Meezan Mutual Fund,Equity,True,85.5449
2020-01-02,F001,Al Meezan Mutual Fund,Equity,True,85.4415
2020-01-03,F001,Al Meezan Mutual Fund,Equity,True,86.144
2020-01-06,F001,Al Meezan Mutual Fund,Equity,True,87.7571
2020-01-07,F001,Al Meezan Mutual Fund,Equity,True,87.5501
2020-01-08,F001,Al Meezan Mutual Fund,Equity,True,87.3435
2020-01-09,F001,Al Meezan Mutual Fund,Equity,True,89.038
2020-01-10,F001,Al Meezan Mutual Fund,Equity,True,89.898
2020-01-13,F001,Al Meezan Mutual Fund,Equity,True,89.432
2020-01-14,F001,Al Meezan Mutual Fund,Equity,True,90.0545
2020-01-15,F001,Al Meezan Mutual Fund,Equity,True,89.5943
2020-01-16,F001,Al Meezan Mutual Fund,Equity,True,89.1338
2020-01-17,F001,Al Meezan Mutual Fund,Equity,True,89.4328
2020-01-20,F001,Al Meezan Mutual Fund,Equity,True,87.4197
2020-01-21,F001,Al Meezan Mutual Fund,Equity,True,85.6495
2020-01-22,F001,Al Meezan Mutual Fund,Equity,True,85.1102
2020-01-23,F001,Al Meezan Mutual Fund,Equity,True,84.114
2020-01-24,F001,Al Meezan Mutual Fund,Equity,True,84.4691
2020-01-27,F001,Al Meezan Mutual Fund,Equity,True,83.5867
2020-01-28,F001,Al Meezan Mutual Fund,Equity,True,82.2077
2020-01-29,F001,Al Meezan Mutual Fund,Equity,True,83.6905
2020-01-30,F001,Al Meezan Mutual Fund,Equity,True,83.5015
2020-01-31,F001,Al Meezan Mutual Fund,Equity,True,83.6067
2020-02-03,F001,Al Meezan Mutual Fund,Equity,True,82.2149
2020-02-04,F001,Al Meezan Mutual Fund,Equity,True,81.7148
2020-02-05,F001,Al Meezan Mutual Fund,Equity,True,81.8604
2020-02-06,F001,Al Meezan Mutual Fund,Equity,True,80.7665
2020-02-07,F001,Al Meezan Mutual Fund,Equity,True,81.167
2020-02-10,F001,Al Meezan Mutual Fund,Equity,True,80.6185
2020-02-11,F001,Al Meezan Mutual Fund,Equity,True,80.3726
2020-02-12,F001,Al Meezan Mutual Fund,Equity,True,79.8284
2020-02-13,F001,Al Meezan Mutual Fund,Equity,True,81.6387
2020-02-14,F001,Al Meezan Mutual Fund,Equity,True,81.6623
2020-02-17,F001,Al Meezan Mutual Fund,Equity,True,80.6625
2020-02-18,F001,Al Meezan Mutual Fund,Equity,True,81.495
2020-02-19,F001,Al Meezan Mutual Fund,Equity,True,80.3377
2020-02-20,F001,Al Meezan Mutual Fund,Equity,True,80.5753
2020-02-21,F001,Al Meezan Mutual Fund,Equity,True,78.7167
2020-02-24,F001,Al Meezan Mutual Fund,Equity,True,77.4975
2020-02-25,F001,Al Meezan Mutual Fund,Equity,True,77.7155
2020-02-26,F001,Al Meezan Mutual Fund,Equity,True,78.4391
2020-02-27,F001,Al Meezan Mutual Fund,Equity,True,78.6357
2020-02-28,F001,Al Meezan Mutual Fund,Equity,True,78.562
2020-03-02,F001,Al Meezan Mutual Fund,Equity,True,77.685
2020-03-03,F001,Al Meezan Mutual Fund,Equity,True,75.7201
2020-03-04,F001,Al Meezan Mutual Fund,Equity,True,74.4944
2020-03-05,F001,Al Meezan Mutual Fund,Equity,True,73.5202
2020-03-06,F001,Al Meezan Mutual Fund,Equity,True,73.8977
2020-03-09,F001,Al Meezan Mutual Fund,Equity,True,73.6445
